 0 0.000000 100000.000000 1.000000 
 50 0.000000 100000.000000 1.000000 
 100 0.000000 100000.000000 1.000000 
 150 0.000000 100000.000000 1.000000 
 200 0.000000 100000.000000 1.000000 
 250 0.000000 100000.000000 1.000000 
 300 0.000000 100000.000000 1.000000 
 350 0.000000 100000.000000 1.000000 
 400 0.000000 100000.000000 1.000000 
 450 0.000000 100000.000000 1.000000 
 500 0.000000 100000.000000 1.000000 
 550 0.000000 10000.000000 0.125000 
 600 0.000000 10000.000000 0.125000 
 650 0.000000 10000.000000 0.125000 
 700 0.000000 10000.000000 0.125000 
 750 0.000000 10000.000000 0.125000 
 800 0.000000 10000.000000 0.125000 
 850 0.000000 10000.000000 0.125000 
 900 0.000000 10000.000000 0.125000 
 950 0.000000 10000.000000 0.125000 
 1000 0.000000 10000.000000 0.125000 
